source	stage	diagnostic
prodos/games/strategy/aawas2.shk	archive	ShrinkIt extraction failed
gs.specific/gno/text.utils/fgrep.200.shk	archive	ShrinkIt extraction failed
gs.specific/gno/languages/emodula2.shk	archive	ShrinkIt extraction failed
gs.specific/gno/graphics/jpeg.v3.shk!run.time.zip	archive	archive extraction failed
gs.specific/programming/examples/apps/aware.shk	archive	ShrinkIt extraction failed
gs.specific/programming/examples/apps/custctrl.shk	archive	ShrinkIt extraction failed
gs.specific/multimedia/hypercard/utilities/gsify.20.shk	archive	ShrinkIt extraction failed
gs.specific/orca/languages/emodula2.shk	archive	ShrinkIt extraction failed
