"Source","ImageSHA256","VolumeName","InterpreterFilename","InterpreterSHA256","PascalSHA256","LibrarySHA256","BootBlocksSHA256","ResultDirectory"
"images/educational/Comprehension (Prescription Learning) (4am crack) disk 3.dsk","c9ee6bbc60b315c5d5a70dd4b366bfef6faf5b3241b82c8679a0a137431c7461","BLANK","SYSTEM.APPLE","2443c23e7538ebfc0227525e4a80878dfae0b96a8a445cb1c4b4332f433a8ae6","ef890517c1eb403c6029ac1063aac4c197ca4617995f7eaa964f8bcc9e688844","1e5b7ec8369f6abe0d13a1b64e376e26f1cc94647f159f04bf9a85937bfcba4d","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/4am/images/c9ee6bbc60b315c5d5a70dd4b366bfef6faf5b3241b82c8679a0a137431c7461"
"images/educational/Solar Reading Flight 1 - Neptune (4am crack).zip!Solar Reading Flight 1 - Neptune (4am crack)/Solar Reading Flight 1 - Neptune (4am crack).dsk","9fa6633e982278c697e8efab87233d7bb9f4c629f6bb8fff57958031a2208cfd","NEPTUNE","SYSTEM.APPLE","49b1bbbd162e00df30a59b10aa591032e16b0fa5fec88512053827339b96383e","1e1f49d81a10939c89b0ceb20f4f619853c83c0c77c85774e991fd1119db6f69","ae0860e842cb476d91b6fb501ab271c6e733644264253c7a471399ddd037ba89","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/4am/images/9fa6633e982278c697e8efab87233d7bb9f4c629f6bb8fff57958031a2208cfd"
"images/educational/The Music Class - Symbols (4am crack) disk 4.dsk","9b2aa8060154e071c471049d511fb97508bc28a335148f14e9ae7e0178e71315","MBTK","SYSTEM.APPLE","7ce54508b9f1564c47d1db921b530c9702c6e91cee177ccbf89bc40f88a1bd5f","02f0576644c3c2d30ef8671fc8fba306a8123a3661e896eaac5393bc5a7c8a14","55861b014f93061482767912ac68f2fa239aef3bafa75cc2c3eb97436e6ba76c","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/4am/images/9b2aa8060154e071c471049d511fb97508bc28a335148f14e9ae7e0178e71315"
"images/educational/Learning to Read - Letters, Words, and Sentences volume 1 (4am crack) disk 2.dsk","035b6c5740d9e90661f63538b7f068ad3e796c6541810a596d5a045edb7741c5","MICRO.T","SYSTEM.APPLE","49b1bbbd162e00df30a59b10aa591032e16b0fa5fec88512053827339b96383e","1e1f49d81a10939c89b0ceb20f4f619853c83c0c77c85774e991fd1119db6f69","2eeb5854bb76d103d254d840badb9eea558715dc74c8b6ce03ef4328ba226a1c","5a63cd59d55e1ad1e0cf9ee279080fb3aa8411bb49ee379a057c684b08ea122a","/Users/chris/Repos/pdisasm/Tools/4am/images/035b6c5740d9e90661f63538b7f068ad3e796c6541810a596d5a045edb7741c5"
"images/educational/Koala Grams Spelling I (4am crack).zip!Koala Grams Spelling I (4am crack)/Koala Grams Spelling I (4am crack).dsk","2ec0fa48ba119fe0ca91f713bf19e7f5c93014ce14f43f01c90766ff58a745a0","KOALA","RTSTRP.APPLE","93629b22a4916e1f8affaa738a0637665191940152928b5c7d876ff9d800a113","aaa96b0c5648f67d1217e6cbbba76e5447531a0cfed515a49adcc6148e7b6220","befe126440ded7bebb4165ee3aeb8ba862373b62a6065d595562e71b4bc6a512","f9414a1892664e4affd035a3b3415365b74f6a69c997dd71bb29e084fb8cf0d1","/Users/chris/Repos/pdisasm/Tools/4am/images/2ec0fa48ba119fe0ca91f713bf19e7f5c93014ce14f43f01c90766ff58a745a0"
"images/educational/Addition Multiple Renamings (4am crack).zip!Addition Multiple Renamings (4am crack)/Addition Multiple Renamings (4am crack).dsk","a5f2b8b1a048203bfd7e4cd39305b02a5fddf3f4f7b7fd23710302001f3ff5dd","SYSMAS","SYSTEM.APPLE","2d9d547e62a2b566b2cb2a26f311b321ab1d95a06cf6aaa68d1e9930fdd6b40d","98eb236ebae21950de87485bd83256642a73bb0727aae60d2cbbaf97165c6e15","1f4ab0662f085269e76c315b2cd1ddea6fba56b84da34249f0eed97af3ffc7f6","048c089e53438cc7066a73065409827ee44a382c798ce3718897716279cfc3dc","/Users/chris/Repos/pdisasm/Tools/4am/images/a5f2b8b1a048203bfd7e4cd39305b02a5fddf3f4f7b7fd23710302001f3ff5dd"
"images/educational/Comprehension (Prescription Learning) (4am crack) disk 2.dsk","ae729e57771a7dca31ff1b95d8193e736f1dc64a7504db76f939995d15f79594","BLANK","SYSTEM.APPLE","2443c23e7538ebfc0227525e4a80878dfae0b96a8a445cb1c4b4332f433a8ae6","ef890517c1eb403c6029ac1063aac4c197ca4617995f7eaa964f8bcc9e688844","1e5b7ec8369f6abe0d13a1b64e376e26f1cc94647f159f04bf9a85937bfcba4d","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/4am/images/ae729e57771a7dca31ff1b95d8193e736f1dc64a7504db76f939995d15f79594"
"images/educational/Addition (Prescription Learning) (4am crack) disk 1.dsk","ab2e1529be195cf7cdd7b1ac9d2fbaa9806bc352212dd1022381496863f5a54d","CLASMTH","SYSTEM.APPLE","7ce54508b9f1564c47d1db921b530c9702c6e91cee177ccbf89bc40f88a1bd5f","02f0576644c3c2d30ef8671fc8fba306a8123a3661e896eaac5393bc5a7c8a14","8c07c18fe5803ebde4878e8bf511ce3c8969f353498a1007331fe9e322ad5cef","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/4am/images/ab2e1529be195cf7cdd7b1ac9d2fbaa9806bc352212dd1022381496863f5a54d"
"images/games/misc/Racter (4am crack).dsk","8335302fbbdee6c176257cbd8afcb08c1f79e6e596d09eeff6126e5e85d84847","RACTER","SYSTEM.APPLE","303e6e8d16efd87b05f86214744fc4a768fe3357092eb8c41d0f5c28e1c86453","fb5421152940287c0c0c49d4c5b9b50074d7f33722b5c8c5d1a44acc2d537657","85a4cd902d1cb48ee224d4741cb67eaa1280971bde9150a1edb7797142db7e47","9037907cab123040de5e652bc7c49482a7363e4d78dbfaef520cfcf50d746bea","/Users/chris/Repos/pdisasm/Tools/4am/images/8335302fbbdee6c176257cbd8afcb08c1f79e6e596d09eeff6126e5e85d84847"
"images/games/rpg/wizardry/Wiziprint (4am crack).zip!Wiziprint (4am crack)/Wiziprint (4am crack).dsk","cac510ec2a0511b9e2995f625c5e2d7c30391eb3a4150b8c84ca3e0af48f5e16","WIZPBT","RTSTRP.APPLE","efa62c72a30f3742415db545a803b9c7f60904353d9acf66b62aee5d79d1a590","aaa96b0c5648f67d1217e6cbbba76e5447531a0cfed515a49adcc6148e7b6220","00aac73bdb87d47fcd83483ef29c6b36d75397d56cd721edbad885473e29d20c","2ffb04276585facf6703ba691cfbc0cbf017eddedcdff54575320595bd960ed1","/Users/chris/Repos/pdisasm/Tools/4am/images/cac510ec2a0511b9e2995f625c5e2d7c30391eb3a4150b8c84ca3e0af48f5e16"
