source	stage	diagnostic
Mirrors/caltech/music/noisetracker/wrz.bhouse.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/music/noisetracker/noisetracker20.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/music/modplayers/noisetracker12.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/music/modplayers/noisetracker07.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/music/modplayers/noisetracker10.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/appletalk/atalk.shk!MAKE.ZIP	archive	archive extraction failed
Mirrors/caltech/miscinfo/internet.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/8bit/patches/clockdatepatch.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/8bit/comm/primebbs/primemanual.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/8bit/utils/find.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/8bit/dev/lisa/lisamst2.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/8bit/dev/lisa/lisamst1.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/8bit/games/whiplash.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/source/splashedit.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/addons/fontstuff/ace.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/addons/init/sfileicons.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/addons/init/sys.icons.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/addons/init/initmaster211.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/addons/patches/killwhoosh11.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/addons/patches/fixboot2.0.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/addons/cda/swatdisk10f1.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/addons/truetype/rothman.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/addons/nda/superinfo2.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/addons/nda/swatdisk10f1.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/comm/anet20.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/utils/innerdrive.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/NEW.FILES/mmovie.startrek.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/NEW.FILES/mmovie.drwho.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/NEW.FILES/mmovie,topgun.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/NEW.FILES/mmovie.thejoker.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/NEW.FILES/gupp1.04.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/shellprogs/emodula2.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/shellprogs/jpeg.v6.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/graphics/otherprogs/bd2.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/graphics/otherprogs/bd1.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/graphics/converters/gif3200v02.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/graphics/viewers/anishow.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/graphics/viewers/coolview.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/sound/animekit.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/sound/ensoniqpeek.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/games/puyopuyo.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/games/startrek.fc.2.1.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/games/ecomaniacs.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/games/newtiniespatch.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/apps/bannerjaz.v11.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/demos/ipgkf93demo.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/demos/drmgraphixdemo.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/demos/acsdemo.shk	archive	ShrinkIt extraction failed
Mirrors/caltech/demos/gatedemo.shk	archive	ShrinkIt extraction failed
Mirrors/trenco/gno/languages/emodula2.shk	archive	ShrinkIt extraction failed
Mirrors/trenco/gno/graphics/jpeg.v3.shk!run.time.zip	archive	archive extraction failed
Mirrors/trenco/programming/examples/apps/aware.shk	archive	ShrinkIt extraction failed
Mirrors/trenco/programming/examples/apps/custctrl.shk	archive	ShrinkIt extraction failed
Mirrors/trenco/multimedia/hypercard/utilities/gsify.20.shk	archive	ShrinkIt extraction failed
apple16/Misc/Applics/ecomaniacs.shk	archive	ShrinkIt extraction failed
apple16/Misc/FMP.SHK	archive	ShrinkIt extraction failed
apple16/Music/Songs/Midi.synth/HandelSeq/HANDELSEQ.SHK	archive	ShrinkIt extraction failed
apple16/Music/Songs/Midi.synth/Moonlight.sonata/MOONLGHTSEQ.SHK	archive	ShrinkIt extraction failed
