"Source","ImageSHA256","VolumeName","InterpreterFilename","InterpreterSHA256","PascalSHA256","LibrarySHA256","BootBlocksSHA256","ResultDirectory"
"Pascal/Apple Pascal 1 - 680-0004-01.dsk","d6e7509a8ae0c0157f84634c40dd04c22f424b3540d344e5db10bc98fec74229","APPLE1","SYSTEM.APPLE","2443c23e7538ebfc0227525e4a80878dfae0b96a8a445cb1c4b4332f433a8ae6","ef890517c1eb403c6029ac1063aac4c197ca4617995f7eaa964f8bcc9e688844","e3996bf923db8a596935df7856da745b24f8afedd8a773d4034a9e796a2446cc","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/a2d/images/d6e7509a8ae0c0157f84634c40dd04c22f424b3540d344e5db10bc98fec74229"
"Pascal/Apple SuperPILOT Demo Files 951-5038-A.dsk","bdf04daa59ef767b1c03082d5228b2658d28a46bae137b9a425c423dd7492211","DEMO4","SYSTEM.APPLE","fd871e3708c29105c326be04a0b74488e27ac8148c658ef62727a2dfecf706a8","e44ba3e9ef9840bec2b28407a825d29f9fb3e0cc1c84f137fa0c887489e21af6","cafd4a4bbe659fe23a4c20d638427017de8d848b9e76d842b5fdc8e602cfd485","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/a2d/images/bdf04daa59ef767b1c03082d5228b2658d28a46bae137b9a425c423dd7492211"
"Pascal/Quick File II Program - 680-0183-A.dsk","d519ca2189e6c4b3792fed8f71f37774abf732d43460e820997422c13a9f02d5","AIIQF","SYSTEM.APPLE","2443c23e7538ebfc0227525e4a80878dfae0b96a8a445cb1c4b4332f433a8ae6","ef890517c1eb403c6029ac1063aac4c197ca4617995f7eaa964f8bcc9e688844","e8a40750287a22ac92236b2aa25f64953a76b2904c06b388ebb9aed716f36e92","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/a2d/images/d519ca2189e6c4b3792fed8f71f37774abf732d43460e820997422c13a9f02d5"
"Pascal/Apple Presents Apple - B680-0178-A.dsk","e368ba1dc37000c40846a25f33fdbd784767f63711c25fc682b7c1686658db20","NO.DEMO","SYSTEM.APPLE","8fb30ba2a7b54d49b55536d13db8252d192f230df14a2f0eba5a8830c9fe1c2e","e44ba3e9ef9840bec2b28407a825d29f9fb3e0cc1c84f137fa0c887489e21af6","7bff9bff452a570b24b66053881e33a45ac7407b8340616b32e0751a3dbaacfe","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/a2d/images/e368ba1dc37000c40846a25f33fdbd784767f63711c25fc682b7c1686658db20"
"Pascal/Apple Fortran FORT1.do","69b3416bdcc32616b5f856dea23f48e8003000815a83c16405189c6b985fa436","FORT1","SYSTEM.APPLE","2443c23e7538ebfc0227525e4a80878dfae0b96a8a445cb1c4b4332f433a8ae6","ef890517c1eb403c6029ac1063aac4c197ca4617995f7eaa964f8bcc9e688844","3bf037a07e48f235f0de79b54342052e0f393545dfc8518ab748a3dc065d99f3","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/a2d/images/69b3416bdcc32616b5f856dea23f48e8003000815a83c16405189c6b985fa436"
