"Source","ImageSHA256","VolumeName","InterpreterFilename","InterpreterSHA256","PascalSHA256","LibrarySHA256","BootBlocksSHA256","ResultDirectory"
"images/educational/Subtraction (Prescription Learning) (4am crack) disk 8.dsk","50b965999cdae4559da887d534e91de2b36bd6eb892de150e27eb8fcb84f86e0","CLASMTH","SYSTEM.APPLE","7ce54508b9f1564c47d1db921b530c9702c6e91cee177ccbf89bc40f88a1bd5f","02f0576644c3c2d30ef8671fc8fba306a8123a3661e896eaac5393bc5a7c8a14","8c07c18fe5803ebde4878e8bf511ce3c8969f353498a1007331fe9e322ad5cef","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/50b965999cdae4559da887d534e91de2b36bd6eb892de150e27eb8fcb84f86e0"
"images/educational/Multiplication (Prescription Learning) (4am crack) disk 3.dsk","bf6009e9c0a721d43b6c92bf7b6ec23f658d5217216758c149f66aa06f60fc47","CLASMTH","SYSTEM.APPLE","7ce54508b9f1564c47d1db921b530c9702c6e91cee177ccbf89bc40f88a1bd5f","02f0576644c3c2d30ef8671fc8fba306a8123a3661e896eaac5393bc5a7c8a14","8c07c18fe5803ebde4878e8bf511ce3c8969f353498a1007331fe9e322ad5cef","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/bf6009e9c0a721d43b6c92bf7b6ec23f658d5217216758c149f66aa06f60fc47"
"images/educational/Learning to Read - Letters, Words, and Sentences volume 3 (4am crack) disk 1.dsk","2325cdb9e6137a487c43d841f1496bccd60da4e9e7752d648297b29b22dbd4a5","MICRO.T","SYSTEM.APPLE","49b1bbbd162e00df30a59b10aa591032e16b0fa5fec88512053827339b96383e","1e1f49d81a10939c89b0ceb20f4f619853c83c0c77c85774e991fd1119db6f69","b80fa08aa0e35d8a8f92e7df7fa524616629e9de10b8f54ad7c215bc5ac26c95","25facf49800e2f4a9fd38980601b8fee8a7b2933be32315dc0afba4e286ca755","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/2325cdb9e6137a487c43d841f1496bccd60da4e9e7752d648297b29b22dbd4a5"
"images/educational/The Rhyming Notebook (1989-First Byte).dsk","3d8b8eee232af4a4be5b5cbfb675ea0160ddf4d65fbf81e70154f430a20c9d18","PROGDSK","SYSTEM.APPLE","2d9d547e62a2b566b2cb2a26f311b321ab1d95a06cf6aaa68d1e9930fdd6b40d","98eb236ebae21950de87485bd83256642a73bb0727aae60d2cbbaf97165c6e15","25409191443b143e6777dde87039439d6d67616c101c5d9ee8a6d1764de09d90","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/3d8b8eee232af4a4be5b5cbfb675ea0160ddf4d65fbf81e70154f430a20c9d18"
"images/educational/Game Frame Two (4am crack) Factman.dsk","d845c6ffa71aa39c50c326e5813b891ef47bd9668d3c52b6f2cda19d503e97c6","GAME","SYSTEM.APPLE","49b1bbbd162e00df30a59b10aa591032e16b0fa5fec88512053827339b96383e","1e1f49d81a10939c89b0ceb20f4f619853c83c0c77c85774e991fd1119db6f69","85a4cd902d1cb48ee224d4741cb67eaa1280971bde9150a1edb7797142db7e47","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/d845c6ffa71aa39c50c326e5813b891ef47bd9668d3c52b6f2cda19d503e97c6"
"images/educational/Language Activities Courseware 4 disk C-1.dsk","67150544fcdeec6f1bca2cc44fa4ea53db2bfd08384bdcde4a1ffb443f10f000","DISKC1","SYSTEM.APPLE","49b1bbbd162e00df30a59b10aa591032e16b0fa5fec88512053827339b96383e","1e1f49d81a10939c89b0ceb20f4f619853c83c0c77c85774e991fd1119db6f69","ee26ba83eddf81c5c69c8f18d72f42dfa1b6e9f6450195836aac127ca6a98a2b","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/67150544fcdeec6f1bca2cc44fa4ea53db2bfd08384bdcde4a1ffb443f10f000"
"images/educational/Alaska (4am crack) disk 3 - First People - Alaska's Natives part two.dsk","2fcf7fed077bffa066d65da6877615279c8b0c632b50d04c7ce2052200cdc8e3","LESSONS","RT0006.APPLE","94eb6d37113cf3b9a8e2fa93aadafa08bac16fdcc578138fd9ace5848fd45a73","6dc9c38c6d99a5ea509b6d977b9729648e17bebf810eb9ef79bee1fcc07e7d01","6e03d304fe44a9492d92bf1fced61bde6f000f10a851f9a9d06dde11048de69c","72cd81575a7dfd00093d4636232f662ac486851600c5ffc0b029de7a0d613b06","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/2fcf7fed077bffa066d65da6877615279c8b0c632b50d04c7ce2052200cdc8e3"
"images/educational/Multiplication (Prescription Learning) (4am crack) disk 1.dsk","fa8889c27743e640e734e9b5ceb4d2f67421138aa6fc4a1ddad53b320152f9c9","CLASMTH","SYSTEM.APPLE","7ce54508b9f1564c47d1db921b530c9702c6e91cee177ccbf89bc40f88a1bd5f","02f0576644c3c2d30ef8671fc8fba306a8123a3661e896eaac5393bc5a7c8a14","8c07c18fe5803ebde4878e8bf511ce3c8969f353498a1007331fe9e322ad5cef","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/fa8889c27743e640e734e9b5ceb4d2f67421138aa6fc4a1ddad53b320152f9c9"
"images/educational/Learning to Read - Letters, Words, and Sentences volume 3 (4am crack) disk 2.dsk","98b02513145abfce5c2106d8bd78296db6ca2f4eea37bede372cc84a70afaa52","MICRO.T","SYSTEM.APPLE","49b1bbbd162e00df30a59b10aa591032e16b0fa5fec88512053827339b96383e","1e1f49d81a10939c89b0ceb20f4f619853c83c0c77c85774e991fd1119db6f69","4c082776867c3c1e05f7f6c2cda803cadd16fb2d06651fde02c3f3cb55a55596","e056ea7cd5f2ae6481c3d0913a1aa29acf55d3ba6a6deeb5ab0d59c33aa67077","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/98b02513145abfce5c2106d8bd78296db6ca2f4eea37bede372cc84a70afaa52"
"images/educational/Game Frame Two (4am crack) Bowling for Scholars.dsk","c8eec3d0dc744481668b75de3ea6c28d2b322a24f725e18f56ab0958f9790faf","GAME","SYSTEM.APPLE","49b1bbbd162e00df30a59b10aa591032e16b0fa5fec88512053827339b96383e","1e1f49d81a10939c89b0ceb20f4f619853c83c0c77c85774e991fd1119db6f69","85a4cd902d1cb48ee224d4741cb67eaa1280971bde9150a1edb7797142db7e47","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/pascal-results/images/c8eec3d0dc744481668b75de3ea6c28d2b322a24f725e18f56ab0958f9790faf"
