"Source","ImageSHA256","VolumeName","InterpreterFilename","InterpreterSHA256","PascalSHA256","LibrarySHA256","BootBlocksSHA256","ResultDirectory"
"images/educational/Bird's Eye View (Hartley Courseware) (san inc crack).DSK","74455b53d03129de8fdad253ec8856da3ab87187956c35d84b55e7bcd26f9f98","GBIVIEW","SYSTEM.APPLE","e8a84f243578f2ab42c72b5afb5d35b628209fa72ea9877ce8724dde4663f2d7","02f0576644c3c2d30ef8671fc8fba306a8123a3661e896eaac5393bc5a7c8a14","c0574a971c5a0d6085c4ea439b1c6a0ff8c95bee7f8e85475d93f5cf8434ed47","190f9410ae628d485d58a0b0ae1cc761c88233d916afdc9abb54443a80891003","/Users/chris/Repos/pdisasm/Tools/san/images/74455b53d03129de8fdad253ec8856da3ab87187956c35d84b55e7bcd26f9f98"
"images/games/rpg/wizardry/wizardry_I/Wizardry - Proving Grounds of the Mad Overlord v2.1 - boot disk (san inc crack).dsk","fb75ed31f53ee3ca2b57b2df5e8759434f3d773d43bd9433beda6c956d12091a","WBV2.1","RTSTRP.APPLE","93629b22a4916e1f8affaa738a0637665191940152928b5c7d876ff9d800a113","aaa96b0c5648f67d1217e6cbbba76e5447531a0cfed515a49adcc6148e7b6220","00aac73bdb87d47fcd83483ef29c6b36d75397d56cd721edbad885473e29d20c","6f95245e71173839bf5f064e06c4f78de1728c77bc9a4f04be58a1a1b44dc943","/Users/chris/Repos/pdisasm/Tools/san/images/fb75ed31f53ee3ca2b57b2df5e8759434f3d773d43bd9433beda6c956d12091a"
"images/games/rpg/wizardry/wizardry_II/Wizardry II - Knight of Diamonds - boot disk (san inc crack).dsk","94e0ac72ec1888a85b3e8e5f27cdf559fbc1d42e97d848b8783969b82abef96b","KODBV2","RTSTRP.APPLE","fb909d174d2c1951a3796b4692446d9aa812ad555146874c57a6bef6719d08bd","aaa96b0c5648f67d1217e6cbbba76e5447531a0cfed515a49adcc6148e7b6220","00aac73bdb87d47fcd83483ef29c6b36d75397d56cd721edbad885473e29d20c","6f95245e71173839bf5f064e06c4f78de1728c77bc9a4f04be58a1a1b44dc943","/Users/chris/Repos/pdisasm/Tools/san/images/94e0ac72ec1888a85b3e8e5f27cdf559fbc1d42e97d848b8783969b82abef96b"
"images/games/rpg/wizardry/wizardry_III/Wizardry III - Legacy of Llylgamyn - boot disk (san inc crack).dsk","c7376b2df6edf441b174aed59ac1bdbe12d43891847c4cf8496883813c1ea21f","LOLBOOT","RTSTRP.APPLE","fb909d174d2c1951a3796b4692446d9aa812ad555146874c57a6bef6719d08bd","aaa96b0c5648f67d1217e6cbbba76e5447531a0cfed515a49adcc6148e7b6220","c4e561fddb5d40c716ddcfff4f6c49c476d106cd0860b27e153960155baaec14","6f95245e71173839bf5f064e06c4f78de1728c77bc9a4f04be58a1a1b44dc943","/Users/chris/Repos/pdisasm/Tools/san/images/c7376b2df6edf441b174aed59ac1bdbe12d43891847c4cf8496883813c1ea21f"
"images/games/collections/san_inc_dos/The World's Greatest Blackjack Program (san inc crack).dsk","79e5b9d8807a2e620954782b4e69c4581a86acc8e2e26b823105e9e72f5101d0","WGBJV10","RTSTND.APPLE","3b189a83b80032282f090e6fae3fae38c0b17e13db4f20116ad8b66feeb7876f","aaa96b0c5648f67d1217e6cbbba76e5447531a0cfed515a49adcc6148e7b6220","00aac73bdb87d47fcd83483ef29c6b36d75397d56cd721edbad885473e29d20c","2ffb04276585facf6703ba691cfbc0cbf017eddedcdff54575320595bd960ed1","/Users/chris/Repos/pdisasm/Tools/san/images/79e5b9d8807a2e620954782b4e69c4581a86acc8e2e26b823105e9e72f5101d0"
